sample_id,image_path,fake_cls,gt_ai,local_ai,gpt_ai
8719,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_219.png,mismatch,0,1,0
2677,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_177.png,original,0,0,0
8346,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_346.png,mismatch,0,0,0
1901,data/MMFakeBench_test/real/guardian_test_500/guardian_test_401.png,original,0,1,0
5158,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_158.png,textual_veracity_distortion,0,0,0
7826,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_326.png,mismatch,0,0,0
1500,data/MMFakeBench_test/real/guardian_test_500/guardian_test_0.png,original,0,0,0
4432,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_432.png,textual_veracity_distortion,0,0,0
6149,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_150.png,visual_veracity_distortion,0,1,1
4217,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_217.png,textual_veracity_distortion,0,0,0
7330,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_330.png,mismatch,0,0,0
2169,data/MMFakeBench_test/real/coco_test_500/coco_test_169.png,original,0,0,0
2731,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_231.png,original,0,0,0
5575,data/MMFakeBench_test/fake/llm_gossip_md_generation_test_100/gpt_generation_gossipcop_test_md_76.png,textual_veracity_distortion,1,1,0
9601,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_101.png,mismatch,0,0,0
7187,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_187.png,mismatch,0,0,0
1021,data/MMFakeBench_test/real/wash_test_500/wash_test_21.png,original,0,0,0
4642,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_642.png,textual_veracity_distortion,0,0,0
8858,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_358.png,mismatch,0,1,0
6424,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_425.png,visual_veracity_distortion,0,1,1
160,data/MMFakeBench_test/real/bbc_test_500/bbc_test_160.png,original,0,0,0
4580,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_580.png,textual_veracity_distortion,0,0,0
8491,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_491.png,mismatch,0,0,0
2047,data/MMFakeBench_test/real/coco_test_500/coco_test_47.png,original,0,0,0
5939,data/MMFakeBench_test/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_240.png,textual_veracity_distortion,1,1,1
561,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_61.png,original,0,0,0
4300,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_300.png,textual_veracity_distortion,0,0,0
8670,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_170.png,mismatch,0,1,1
9285,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_285.png,mismatch,0,1,0
5049,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_49.png,textual_veracity_distortion,0,1,0
2237,data/MMFakeBench_test/real/coco_test_500/coco_test_237.png,original,0,0,0
6119,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_120.png,visual_veracity_distortion,0,0,1
6026,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_27.png,visual_veracity_distortion,0,0,1
595,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_95.png,original,0,0,0
7324,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_324.png,mismatch,0,0,0
3933,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_934.png,textual_veracity_distortion,1,1,1
40,data/MMFakeBench_test/real/bbc_test_500/bbc_test_40.png,original,0,0,0
3574,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_575.png,textual_veracity_distortion,1,1,0
8496,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_496.png,mismatch,0,0,0
4186,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_186.png,textual_veracity_distortion,0,0,0
939,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_439.png,original,0,0,0
9347,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_347.png,mismatch,0,1,0
3169,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_SD_170.png,textual_veracity_distortion,1,1,1
2046,data/MMFakeBench_test/real/coco_test_500/coco_test_46.png,original,0,0,0
8870,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_370.png,mismatch,0,1,0
3477,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_478.png,textual_veracity_distortion,1,1,1
7904,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_404.png,mismatch,0,0,0
2004,data/MMFakeBench_test/real/coco_test_500/coco_test_4.png,original,0,0,0
6113,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_114.png,visual_veracity_distortion,0,0,0
4647,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_647.png,textual_veracity_distortion,0,0,0
2134,data/MMFakeBench_test/real/coco_test_500/coco_test_134.png,original,0,0,0
7551,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_51.png,mismatch,0,0,0
7469,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_469.png,mismatch,0,0,0
4960,data/MMFakeBench_test/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_211.png,textual_veracity_distortion,1,1,0
87,data/MMFakeBench_test/real/bbc_test_500/bbc_test_87.png,original,0,1,0
1318,data/MMFakeBench_test/real/wash_test_500/wash_test_318.png,original,0,0,0
7759,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_259.png,mismatch,0,0,0
4557,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_557.png,textual_veracity_distortion,0,0,0
6611,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_112.png,visual_veracity_distortion,1,1,1
1449,data/MMFakeBench_test/real/wash_test_500/wash_test_449.png,original,0,0,0
4125,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_125.png,textual_veracity_distortion,0,0,0
8916,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_416.png,mismatch,0,1,0
3826,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_827.png,textual_veracity_distortion,1,1,0
1795,data/MMFakeBench_test/real/guardian_test_500/guardian_test_295.png,original,0,0,0
8063,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_63.png,mismatch,0,0,0
6660,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_161.png,visual_veracity_distortion,1,1,1
3983,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_984.png,textual_veracity_distortion,1,1,1
9232,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_232.png,mismatch,0,1,1
2604,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_104.png,original,0,0,0
3769,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_770.png,textual_veracity_distortion,1,1,1
8341,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_341.png,mismatch,0,0,0
889,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_389.png,original,0,0,0
4905,data/MMFakeBench_test/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_156.png,textual_veracity_distortion,1,1,0
1204,data/MMFakeBench_test/real/wash_test_500/wash_test_204.png,original,0,0,0
8830,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_330.png,mismatch,0,0,1
723,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_223.png,original,0,0,0
7569,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_69.png,mismatch,0,0,0
4718,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_718.png,textual_veracity_distortion,0,0,0
6395,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_396.png,visual_veracity_distortion,0,0,1
9249,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_249.png,mismatch,0,1,1
1047,data/MMFakeBench_test/real/wash_test_500/wash_test_47.png,original,0,0,0
5357,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_357.png,textual_veracity_distortion,0,0,0
1383,data/MMFakeBench_test/real/wash_test_500/wash_test_383.png,original,0,0,0
4430,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_430.png,textual_veracity_distortion,0,0,0
7574,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_74.png,mismatch,0,0,0
6707,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_208.png,visual_veracity_distortion,1,1,0
7667,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_167.png,mismatch,0,1,1
5697,data/MMFakeBench_test/fake/llm_science_md_generation_test_100/gpt_generation_science_test_md_98.png,textual_veracity_distortion,1,1,1
2929,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_429.png,original,0,0,0
3397,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_dalle_398.png,textual_veracity_distortion,1,1,1
9677,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_177.png,mismatch,0,0,0
1792,data/MMFakeBench_test/real/guardian_test_500/guardian_test_292.png,original,0,0,0
3081,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_SD_82.png,textual_veracity_distortion,1,1,0
7101,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_101.png,mismatch,0,0,0
690,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_190.png,original,0,0,0
6218,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_219.png,visual_veracity_distortion,0,1,1
8392,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_392.png,mismatch,0,0,0
1750,data/MMFakeBench_test/real/guardian_test_500/guardian_test_250.png,original,0,0,0
4314,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_314.png,textual_veracity_distortion,0,0,0
2273,data/MMFakeBench_test/real/coco_test_500/coco_test_273.png,original,0,0,0
8531,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_31.png,mismatch,0,0,0
5013,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_13.png,textual_veracity_distortion,0,0,0
4752,data/MMFakeBench_test/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_3.png,textual_veracity_distortion,1,1,0
8196,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_196.png,mismatch,0,0,0
1436,data/MMFakeBench_test/real/wash_test_500/wash_test_436.png,original,0,0,0
6399,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_400.png,visual_veracity_distortion,0,1,1
9538,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_38.png,mismatch,0,0,0
1586,data/MMFakeBench_test/real/guardian_test_500/guardian_test_86.png,original,0,0,0
4368,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_368.png,textual_veracity_distortion,0,0,0
9268,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_268.png,mismatch,0,1,0
708,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_208.png,original,0,0,0
4050,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_50.png,textual_veracity_distortion,0,0,0
8666,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_166.png,mismatch,0,1,1
2501,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_1.png,original,0,0,0
4106,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_106.png,textual_veracity_distortion,0,0,0
8155,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_155.png,mismatch,0,0,0
243,data/MMFakeBench_test/real/bbc_test_500/bbc_test_243.png,original,0,0,0
3415,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_416.png,textual_veracity_distortion,1,1,0
6807,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_308.png,visual_veracity_distortion,1,1,1
992,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_492.png,original,0,0,0
9081,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_81.png,mismatch,0,0,0
5084,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_84.png,textual_veracity_distortion,0,0,1
7989,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_489.png,mismatch,0,0,0
5286,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_286.png,textual_veracity_distortion,0,0,0
1972,data/MMFakeBench_test/real/guardian_test_500/guardian_test_472.png,original,0,0,0
3766,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_767.png,textual_veracity_distortion,1,1,1
8165,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_165.png,mismatch,0,0,0
1970,data/MMFakeBench_test/real/guardian_test_500/guardian_test_470.png,original,0,0,0
2728,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_228.png,original,0,0,0
6629,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_130.png,visual_veracity_distortion,1,1,1
7531,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_31.png,mismatch,0,0,0
5834,data/MMFakeBench_test/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_135.png,textual_veracity_distortion,1,1,1
1818,data/MMFakeBench_test/real/guardian_test_500/guardian_test_318.png,original,0,0,0
9577,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_77.png,mismatch,0,0,0
4510,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_510.png,textual_veracity_distortion,0,0,0
978,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_478.png,original,0,1,0
7044,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_44.png,mismatch,0,0,0
5060,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_60.png,textual_veracity_distortion,0,0,0
9715,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_215.png,mismatch,0,0,0
6114,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_115.png,visual_veracity_distortion,0,1,1
957,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_457.png,original,0,0,0
3537,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_538.png,textual_veracity_distortion,1,1,1
6609,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_110.png,visual_veracity_distortion,1,1,1
7697,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_197.png,mismatch,0,0,0
2915,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_415.png,original,0,0,0
5317,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_317.png,textual_veracity_distortion,0,0,0
1505,data/MMFakeBench_test/real/guardian_test_500/guardian_test_5.png,original,0,0,0
8225,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_225.png,mismatch,0,0,0
4893,data/MMFakeBench_test/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_144.png,textual_veracity_distortion,1,1,0
8411,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_411.png,mismatch,0,0,0
534,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_34.png,original,0,0,0
3651,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_652.png,textual_veracity_distortion,1,1,0
3980,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_981.png,textual_veracity_distortion,1,1,0
251,data/MMFakeBench_test/real/bbc_test_500/bbc_test_251.png,original,0,0,0
7259,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_259.png,mismatch,0,0,0
3899,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_900.png,textual_veracity_distortion,1,1,0
7601,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_101.png,mismatch,0,0,0
2756,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_256.png,original,0,0,1
1052,data/MMFakeBench_test/real/wash_test_500/wash_test_52.png,original,0,0,0
7134,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_134.png,mismatch,0,0,0
6581,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_82.png,visual_veracity_distortion,1,1,1
3405,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_406.png,textual_veracity_distortion,1,1,1
7506,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_6.png,mismatch,0,0,0
2504,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_4.png,original,0,0,0
5916,data/MMFakeBench_test/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_217.png,textual_veracity_distortion,1,1,1
4147,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_147.png,textual_veracity_distortion,0,0,0
8442,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_442.png,mismatch,0,0,0
1231,data/MMFakeBench_test/real/wash_test_500/wash_test_231.png,original,0,0,0
540,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_40.png,original,0,0,0
5524,data/MMFakeBench_test/fake/llm_gossip_md_generation_test_100/gpt_generation_gossipcop_test_md_25.png,textual_veracity_distortion,1,1,0
9107,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_107.png,mismatch,0,1,1
6652,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_153.png,visual_veracity_distortion,1,1,1
