sample_id,label,confidence,stats
ds8815,Misinformation,0.9,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
7187,Not Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
7469,Not Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2006,Not Misinformation,0.7,"{""removed_chars"": 142, ""removed_tokens_est"": 35}"
978,Misinformation,0.8,"{""removed_chars"": 188, ""removed_tokens_est"": 47}"
ds1564,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1998,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2506,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2845,Misinformation,0.9,"{""removed_chars"": 294, ""removed_tokens_est"": 73}"
ds2311,Misinformation,0.9,"{""removed_chars"": 236, ""removed_tokens_est"": 59}"
ds1062,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1099,Misinformation,0.9,"{""removed_chars"": 135, ""removed_tokens_est"": 33}"
2915,Misinformation,0.8,"{""removed_chars"": 288, ""removed_tokens_est"": 72}"
ds2354,Not Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2864,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2437,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
2169,Not Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
992,Not Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2926,Misinformation,0.9,"{""removed_chars"": 646, ""removed_tokens_est"": 161}"
2756,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1157,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2594,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
1795,Not Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1060,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
1436,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds994,Not Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1754,Not Misinformation,0.9,"{""removed_chars"": 2897, ""removed_tokens_est"": 724}"
2826,Not Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2101,Not Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds451,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds372,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1829,Misinformation,0.9,"{""removed_chars"": 300, ""removed_tokens_est"": 75}"
4642,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5647,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds3303,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5053,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5060,Misinformation,0.9,"{""removed_chars"": 2815, ""removed_tokens_est"": 703}"
5013,Misinformation,0.9,"{""removed_chars"": 160, ""removed_tokens_est"": 40}"
5939,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5000,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4278,Misinformation,0.9,"{""removed_chars"": 514, ""removed_tokens_est"": 128}"
4557,Not Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5161,Misinformation,0.9,"{""removed_chars"": 427, ""removed_tokens_est"": 106}"
ds4821,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5714,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4284,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5403,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4718,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5575,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds3839,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4230,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds3503,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4960,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5977,Misinformation,0.9,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
3980,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
3397,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4724,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4939,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5610,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
3415,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4064,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4717,Misinformation,0.8,"{""removed_chars"": 4992, ""removed_tokens_est"": 1248}"
ds6954,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6291,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6725,Misinformation,0.9,"{""removed_chars"": 179, ""removed_tokens_est"": 44}"
ds6266,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6031,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
6026,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6940,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6481,Not Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
6119,Misinformation,1.0,"{""removed_chars"": 1088, ""removed_tokens_est"": 272}"
ds6549,Misinformation,1.0,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
