sample_id,label,confidence,intervention,stats
ds372,Not Misinformation,0.85,none,{}
ds1829,Not Misinformation,0.9,none,{}
4642,Misinformation,0.95,none,{}
ds5647,Misinformation,0.95,none,{}
ds3303,Misinformation,0.9,none,{}
ds5053,Not Misinformation,0.85,none,{}
5060,Misinformation,0.95,none,{}
5013,Misinformation,0.95,none,{}
5939,Misinformation,0.95,none,{}
5000,Misinformation,0.95,none,{}
ds4278,Misinformation,0.95,none,{}
4557,Misinformation,0.85,none,{}
ds5161,Misinformation,0.95,none,{}
ds4821,Not Misinformation,0.85,none,{}
ds5714,Misinformation,0.8,none,{}
4284,Misinformation,0.95,none,{}
ds5403,Not Misinformation,0.85,none,{}
4718,Not Misinformation,0.85,none,{}
5575,Misinformation,0.85,none,{}
ds3839,Misinformation,0.95,none,{}
4230,Not Misinformation,0.85,none,{}
ds3503,Misinformation,0.95,none,{}
4960,Not Misinformation,0.9,none,{}
5977,Misinformation,0.9,none,{}
3980,Misinformation,0.95,none,{}
3397,Misinformation,0.8,none,{}
ds4724,Not Misinformation,0.85,none,{}
ds4939,Not Misinformation,0.75,none,{}
ds5610,Misinformation,0.95,none,{}
3415,Misinformation,0.95,none,{}
ds4064,Not Misinformation,0.9,none,{}
ds4717,Misinformation,0.95,none,{}
ds6954,Misinformation,0.95,none,{}
ds6291,Misinformation,0.9,none,{}
ds6725,Misinformation,0.8,none,{}
ds6266,Misinformation,0.95,none,{}
ds6031,Misinformation,0.95,none,{}
6026,Misinformation,0.95,none,{}
ds6940,Misinformation,0.8,none,{}
ds6481,Not Misinformation,0.95,none,{}
6119,Misinformation,0.95,none,{}
ds6549,Misinformation,0.8,none,{}
9577,Not Misinformation,0.7,C4,"{""rank_changes"": 4, ""n_questions"": 3, ""avg_rank_changes"": 1.33}"
ds9027,Misinformation,0.8,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
7439,Misinformation,0.9,C4,"{""rank_changes"": 2, ""n_questions"": 3, ""avg_rank_changes"": 0.67}"
ds9980,Not Misinformation,0.7,C4,"{""rank_changes"": 7, ""n_questions"": 3, ""avg_rank_changes"": 2.33}"
8063,Not Misinformation,0.7,C4,"{""rank_changes"": 14, ""n_questions"": 4, ""avg_rank_changes"": 3.5}"
ds8721,Not Misinformation,0.8,C4,"{""rank_changes"": 17, ""n_questions"": 5, ""avg_rank_changes"": 3.4}"
ds9362,Not Misinformation,0.85,C4,"{""rank_changes"": 14, ""n_questions"": 3, ""avg_rank_changes"": 4.67}"
ds9253,Not Misinformation,0.85,C4,"{""rank_changes"": 10, ""n_questions"": 3, ""avg_rank_changes"": 3.33}"
8719,Misinformation,0.8,C4,"{""rank_changes"": 6, ""n_questions"": 6, ""avg_rank_changes"": 1.0}"
ds9954,Misinformation,0.85,C4,"{""rank_changes"": 6, ""n_questions"": 3, ""avg_rank_changes"": 2.0}"
9323,Misinformation,0.95,C4,"{""rank_changes"": 5, ""n_questions"": 3, ""avg_rank_changes"": 1.67}"
ds9049,Not Misinformation,0.7,C4,"{""rank_changes"": 13, ""n_questions"": 4, ""avg_rank_changes"": 3.25}"
7259,Not Misinformation,0.9,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
ds8617,Misinformation,0.8,C4,"{""rank_changes"": 5, ""n_questions"": 9, ""avg_rank_changes"": 0.56}"
ds9145,Misinformation,0.8,C4,"{""rank_changes"": 19, ""n_questions"": 8, ""avg_rank_changes"": 2.38}"
ds9228,Not Misinformation,0.8,C4,"{""rank_changes"": 15, ""n_questions"": 3, ""avg_rank_changes"": 5.0}"
ds7291,Not Misinformation,0.85,C4,"{""rank_changes"": 5, ""n_questions"": 3, ""avg_rank_changes"": 1.67}"
9081,Not Misinformation,0.85,C4,"{""rank_changes"": 7, ""n_questions"": 5, ""avg_rank_changes"": 1.4}"
8155,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 7, ""avg_rank_changes"": 0.0}"
ds9200,Misinformation,0.9,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
ds7131,Not Misinformation,0.85,C4,"{""rank_changes"": 0, ""n_questions"": 4, ""avg_rank_changes"": 0.0}"
8830,Misinformation,0.95,C4,"{""rank_changes"": 8, ""n_questions"": 3, ""avg_rank_changes"": 2.67}"
ds8684,Misinformation,0.8,C4,"{""rank_changes"": 16, ""n_questions"": 6, ""avg_rank_changes"": 2.67}"
ds8199,Misinformation,0.95,C4,"{""rank_changes"": 7, ""n_questions"": 3, ""avg_rank_changes"": 2.33}"
7330,Misinformation,0.95,C4,"{""rank_changes"": 11, ""n_questions"": 3, ""avg_rank_changes"": 3.67}"
8341,Misinformation,0.85,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
7759,Misinformation,0.85,C4,"{""rank_changes"": 12, ""n_questions"": 5, ""avg_rank_changes"": 2.4}"
ds8815,Misinformation,0.95,C4,"{""rank_changes"": 5, ""n_questions"": 3, ""avg_rank_changes"": 1.67}"
7187,Not Misinformation,0.85,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
7469,Not Misinformation,0.85,C4,"{""rank_changes"": 7, ""n_questions"": 4, ""avg_rank_changes"": 1.75}"
ds4,Not Misinformation,0.85,C4,"{""rank_changes"": 13, ""n_questions"": 5, ""avg_rank_changes"": 2.6}"
ds2006,Not Misinformation,0.7,C4,"{""rank_changes"": 9, ""n_questions"": 5, ""avg_rank_changes"": 1.8}"
978,Not Misinformation,0.8,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
ds1564,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
ds1998,Not Misinformation,0.9,C4,"{""rank_changes"": 14, ""n_questions"": 3, ""avg_rank_changes"": 4.67}"
ds2506,Not Misinformation,0.85,C4,"{""rank_changes"": 8, ""n_questions"": 4, ""avg_rank_changes"": 2.0}"
ds2845,Not Misinformation,0.75,C4,"{""rank_changes"": 0, ""n_questions"": 6, ""avg_rank_changes"": 0.0}"
ds2311,Not Misinformation,0.95,C4,"{""rank_changes"": 16, ""n_questions"": 3, ""avg_rank_changes"": 5.33}"
ds1062,Not Misinformation,0.85,C4,"{""rank_changes"": 0, ""n_questions"": 4, ""avg_rank_changes"": 0.0}"
ds1099,Not Misinformation,0.9,C4,"{""rank_changes"": 25, ""n_questions"": 4, ""avg_rank_changes"": 6.25}"
2915,Not Misinformation,0.8,C4,"{""rank_changes"": 2, ""n_questions"": 3, ""avg_rank_changes"": 0.67}"
ds2354,Not Misinformation,0.9,C4,"{""rank_changes"": 22, ""n_questions"": 3, ""avg_rank_changes"": 7.33}"
ds2864,Not Misinformation,0.85,C4,"{""rank_changes"": 3, ""n_questions"": 3, ""avg_rank_changes"": 1.0}"
ds2437,Misinformation,0.95,C4,"{""rank_changes"": 11, ""n_questions"": 3, ""avg_rank_changes"": 3.67}"
2169,Not Misinformation,0.85,C4,"{""rank_changes"": 0, ""n_questions"": 4, ""avg_rank_changes"": 0.0}"
992,Not Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
ds2926,Misinformation,0.95,C4,"{""rank_changes"": 13, ""n_questions"": 4, ""avg_rank_changes"": 3.25}"
2756,Misinformation,0.9,C4,"{""rank_changes"": 0, ""n_questions"": 5, ""avg_rank_changes"": 0.0}"
ds1157,Not Misinformation,0.75,C4,"{""rank_changes"": 14, ""n_questions"": 9, ""avg_rank_changes"": 1.56}"
ds2594,Misinformation,0.8,C4,"{""rank_changes"": 6, ""n_questions"": 4, ""avg_rank_changes"": 1.5}"
1795,Not Misinformation,0.95,C4,"{""rank_changes"": 6, ""n_questions"": 3, ""avg_rank_changes"": 2.0}"
ds1060,Not Misinformation,0.9,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
1436,Not Misinformation,0.8,C4,"{""rank_changes"": 4, ""n_questions"": 3, ""avg_rank_changes"": 1.33}"
ds994,Not Misinformation,0.95,C4,"{""rank_changes"": 6, ""n_questions"": 5, ""avg_rank_changes"": 1.2}"
ds1754,Not Misinformation,0.95,C4,"{""rank_changes"": 6, ""n_questions"": 3, ""avg_rank_changes"": 2.0}"
2826,Not Misinformation,0.85,C4,"{""rank_changes"": 18, ""n_questions"": 4, ""avg_rank_changes"": 4.5}"
ds2101,Not Misinformation,0.95,C4,"{""rank_changes"": 10, ""n_questions"": 5, ""avg_rank_changes"": 2.0}"
ds451,Misinformation,0.95,C4,"{""rank_changes"": 8, ""n_questions"": 3, ""avg_rank_changes"": 2.67}"
ds372,Not Misinformation,0.85,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
ds1829,Not Misinformation,0.9,C4,"{""rank_changes"": 6, ""n_questions"": 3, ""avg_rank_changes"": 2.0}"
4642,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 4, ""avg_rank_changes"": 0.0}"
ds5647,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 5, ""avg_rank_changes"": 0.0}"
ds3303,Misinformation,0.9,C4,"{""rank_changes"": 7, ""n_questions"": 3, ""avg_rank_changes"": 2.33}"
ds5053,Not Misinformation,0.85,C4,"{""rank_changes"": 15, ""n_questions"": 3, ""avg_rank_changes"": 5.0}"
5060,Misinformation,0.95,C4,"{""rank_changes"": 31, ""n_questions"": 7, ""avg_rank_changes"": 4.43}"
5013,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
5939,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
5000,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 4, ""avg_rank_changes"": 0.0}"
ds4278,Misinformation,0.95,C4,"{""rank_changes"": 2, ""n_questions"": 4, ""avg_rank_changes"": 0.5}"
4557,Misinformation,0.85,C4,"{""rank_changes"": 16, ""n_questions"": 3, ""avg_rank_changes"": 5.33}"
ds5161,Misinformation,0.95,C4,"{""rank_changes"": 2, ""n_questions"": 3, ""avg_rank_changes"": 0.67}"
ds4821,Not Misinformation,0.85,C4,"{""rank_changes"": 0, ""n_questions"": 7, ""avg_rank_changes"": 0.0}"
ds5714,Misinformation,0.8,C4,"{""rank_changes"": 17, ""n_questions"": 3, ""avg_rank_changes"": 5.67}"
4284,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 4, ""avg_rank_changes"": 0.0}"
ds5403,Not Misinformation,0.85,C4,"{""rank_changes"": 16, ""n_questions"": 3, ""avg_rank_changes"": 5.33}"
4718,Not Misinformation,0.85,C4,"{""rank_changes"": 18, ""n_questions"": 3, ""avg_rank_changes"": 6.0}"
5575,Misinformation,0.85,C4,"{""rank_changes"": 5, ""n_questions"": 4, ""avg_rank_changes"": 1.25}"
ds3839,Misinformation,0.95,C4,"{""rank_changes"": 20, ""n_questions"": 4, ""avg_rank_changes"": 5.0}"
4230,Not Misinformation,0.85,C4,"{""rank_changes"": 9, ""n_questions"": 6, ""avg_rank_changes"": 1.5}"
ds3503,Misinformation,0.95,C4,"{""rank_changes"": 6, ""n_questions"": 3, ""avg_rank_changes"": 2.0}"
4960,Not Misinformation,0.9,C4,"{""rank_changes"": 19, ""n_questions"": 3, ""avg_rank_changes"": 6.33}"
5977,Misinformation,0.9,C4,"{""rank_changes"": 0, ""n_questions"": 3, ""avg_rank_changes"": 0.0}"
3980,Misinformation,0.95,C4,"{""rank_changes"": 5, ""n_questions"": 3, ""avg_rank_changes"": 1.67}"
3397,Misinformation,0.8,C4,"{""rank_changes"": 9, ""n_questions"": 4, ""avg_rank_changes"": 2.25}"
ds4724,Not Misinformation,0.85,C4,"{""rank_changes"": 12, ""n_questions"": 3, ""avg_rank_changes"": 4.0}"
ds4939,Not Misinformation,0.75,C4,"{""rank_changes"": 2, ""n_questions"": 5, ""avg_rank_changes"": 0.4}"
ds5610,Misinformation,0.95,C4,"{""rank_changes"": 15, ""n_questions"": 3, ""avg_rank_changes"": 5.0}"
3415,Misinformation,0.95,C4,"{""rank_changes"": 16, ""n_questions"": 3, ""avg_rank_changes"": 5.33}"
ds4064,Not Misinformation,0.9,C4,"{""rank_changes"": 14, ""n_questions"": 3, ""avg_rank_changes"": 4.67}"
ds4717,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 6, ""avg_rank_changes"": 0.0}"
ds6954,Misinformation,0.95,C4,"{""rank_changes"": 18, ""n_questions"": 3, ""avg_rank_changes"": 6.0}"
ds6291,Misinformation,0.9,C4,"{""rank_changes"": 10, ""n_questions"": 6, ""avg_rank_changes"": 1.67}"
ds6725,Misinformation,0.8,C4,"{""rank_changes"": 10, ""n_questions"": 3, ""avg_rank_changes"": 3.33}"
ds6266,Misinformation,0.95,C4,"{""rank_changes"": 4, ""n_questions"": 3, ""avg_rank_changes"": 1.33}"
ds6031,Misinformation,0.95,C4,"{""rank_changes"": 0, ""n_questions"": 4, ""avg_rank_changes"": 0.0}"
6026,Misinformation,0.95,C4,"{""rank_changes"": 12, ""n_questions"": 3, ""avg_rank_changes"": 4.0}"
ds6940,Misinformation,0.8,C4,"{""rank_changes"": 5, ""n_questions"": 3, ""avg_rank_changes"": 1.67}"
ds6481,Not Misinformation,0.95,C4,"{""rank_changes"": 6, ""n_questions"": 3, ""avg_rank_changes"": 2.0}"
6119,Misinformation,0.95,C4,"{""rank_changes"": 11, ""n_questions"": 6, ""avg_rank_changes"": 1.83}"
ds6549,Misinformation,0.8,C4,"{""rank_changes"": 7, ""n_questions"": 6, ""avg_rank_changes"": 1.17}"
