sheet_row,sample_id,image_path,claim,fake_cls,gt,J1_label,J1_conf,J1_rationale,J2_label,J2_conf,J2_rationale,evidence_sufficient,notes
61,7759,/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_259.png,,mismatch,Fake,Misinformation,0.6,"The image is partially aligned with the headline but does not confirm it depicts Dong Energy's gas-fired power station specifically. The headline's claims about the government's proposal are supported, but the image does not provide sufficient verification.",Not Misinformation,0.8,"The visual veracity signal indicates that the image is genuine and not AI-generated. The evidence supports the claim that the UK government views gas as a bridging technology, as noted in the retrieved evidence (evidence item 2 from the second question). While the operational status of Dong Energy's gas power station is not explicitly confirmed, the historical context provided in the evidence suggests it was operational as of 2011. Therefore, the claim aligns with the evidence without contradiction.",,
62,ds2594,/real/fakeddit_test_500/fakeddit_test_94.png,,original,True,,,,,,,,
63,ds3953,/fake/fever_AI_test_1000/fever_test_md_954.png,,textual_veracity_distortion,Fake,,,,,,,,
64,ds1829,/real/guardian_test_500/guardian_test_329.png,,original,True,,,,,,,,
65,ds5647,/fake/llm_science_md_generation_test_100/gpt_generation_science_test_md_48.png,,textual_veracity_distortion,Fake,,,,,,,,
66,2915,/real/fakeddit_test_500/fakeddit_test_415.png,,original,True,Not Misinformation,0.8,"The headline is supported by the QA analysis, which indicates that restroom maps for the blind are being developed, aligning with the image showing a restroom map. The image is genuine and not AI-generated, and the partial alignment with high confidence suggests it relates to the subject matter.",Misinformation,0.8,"The claim that the restroom map is specifically designed for the blind is not supported by the evidence. While the image shows a restroom map, the evidence indicates that tactile 3D-printed restroom maps for the blind are not common and are still being developed (evidence from Even Grounds: https://evengrounds.com/accessible-tactile-3d-printed-restroom-maps/). The relevancy signal suggests uncertainty about the map's design for the blind, further leaning towards misinformation.",,
67,ds9980,/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_480.png,,mismatch,Fake,,,,,,,,
68,ds1062,/real/wash_test_500/wash_test_62.png,,original,True,,,,,,,,
69,ds2877,/real/fakeddit_test_500/fakeddit_test_377.png,,original,True,,,,,,,,
70,9347,/fake/coco_image_edit_test_500/coco_image_edit_test_347.png,,mismatch,Fake,,,,,,,,
71,251,/real/bbc_test_500/bbc_test_251.png,,original,True,Not Misinformation,0.9,"The headline is accurate and supported by the Q/A analysis. The image is genuine and aligns well with the headline, depicting the award presentation.",Misinformation,0.9,"The evidence indicates that Sameena Jabeen Ahmed won the Best British Newcomer award at the BFI London Film Festival, but there is no evidence supporting that James Corden presented this award to her. The image and headline imply a direct connection between Ahmed receiving the award from Corden, which is not substantiated by the evidence. The visual veracity signal confirms the image is genuine, but the lack of evidence linking Corden to the award presentation leads to the conclusion of misinformation.",,
72,ds8721,/fake/coco_text_edit_test_500/coco_text_edit_test_221.png,,mismatch,Fake,,,,,,,,
73,6026,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_27.png,,visual_veracity_distortion,Fake,,,,,,,,
74,ds9069,/fake/coco_image_edit_test_500/coco_image_edit_test_69.png,,mismatch,Fake,,,,,,,,
75,ds9027,/fake/coco_image_edit_test_500/coco_image_edit_test_27.png,,mismatch,Fake,,,,,,,,
76,ds4158,/fake/rumor_match_test_750/rumor_match_test_158.png,,textual_veracity_distortion,Fake,,,,,,,,
77,7697,/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_197.png,,mismatch,Fake,Misinformation,0.5,"The image is partially aligned with the headline but lacks specific details confirming it depicts the proposed locations. The headline is true based on QA analysis, but the image does not sufficiently support it due to low confidence in alignment.",Not Misinformation,0.8,"The evidence supports the claim that there is a draft proposal for new settlements in Yalding, Kent, and Gerrards Cross, Buckinghamshire, as indicated in the retrieved evidence from the source (https://andrewlainton.wordpress.com/2014/01/18/clegg-tells-cameron-come-clean-on-garden-cities-proposed-for-yalding-and-gerrards-cross-telegraph/). The visual veracity signal confirms that the image is not AI-generated, which further supports the authenticity of the claim. The relevancy signal is partial but does not contradict the claim.",,
78,ds6032,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_33.png,,visual_veracity_distortion,Fake,,,,,,,,
79,1972,/real/guardian_test_500/guardian_test_472.png,,original,True,,,,,,,,
80,ds742,/real/usa_today_test_500/usa_today_test_242.png,,original,True,,,,,,,,
81,ds9215,/fake/coco_image_edit_test_500/coco_image_edit_test_215.png,,mismatch,Fake,,,,,,,,
82,ds1686,/real/guardian_test_500/guardian_test_186.png,,original,True,,,,,,,,
83,365,/real/bbc_test_500/bbc_test_365.png,,original,True,,,,,,,,
84,ds4772,/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_23.png,,textual_veracity_distortion,Fake,,,,,,,,
85,ds3649,/fake/fever_AI_test_1000/fever_test_md_650.png,,textual_veracity_distortion,Fake,,,,,,,,
86,ds8840,/fake/coco_text_edit_test_500/coco_text_edit_test_340.png,,mismatch,Fake,,,,,,,,
87,ds9896,/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_396.png,,mismatch,Fake,,,,,,,,
88,2501,/real/fakeddit_test_500/fakeddit_test_1.png,,original,True,Not Misinformation,0.95,"The image aligns well with the headline, showing a girl who appears happy and is holding a bullfrog. The image is confirmed to be genuine and not AI-generated. The headline is plausible, supported by the Q/A analysis indicating that while a specific instance is not confirmed, it is possible for a girl to catch a bullfrog.",Misinformation,0.8,"The evidence does not confirm a specific instance of a girl catching a bullfrog, which contradicts the claim. The relevant evidence indicates that while it is possible to catch bullfrogs, there is no direct support for the claim made in the headline. The visual veracity signal suggests the image is genuine, but the lack of evidence supporting the specific event leads to a conclusion of misinformation.",,
89,ds9253,/fake/coco_image_edit_test_500/coco_image_edit_test_253.png,,mismatch,Fake,,,,,,,,
90,9058,/fake/coco_image_edit_test_500/coco_image_edit_test_58.png,,mismatch,Fake,,,,,,,,
91,ds3976,/fake/fever_AI_test_1000/fever_test_md_977.png,,textual_veracity_distortion,Fake,,,,,,,,
92,7469,/fake/Newsclipings_person_test_500/Newsclipings_person_test_469.png,,mismatch,Fake,,,,,,,,
93,3405,/fake/fever_AI_test_1000/fever_test_md_406.png,,textual_veracity_distortion,Fake,,,,,,,,
94,ds4380,/fake/rumor_match_test_750/rumor_match_test_380.png,,textual_veracity_distortion,Fake,,,,,,,,
95,ds3503,/fake/fever_AI_test_1000/fever_test_md_504.png,,textual_veracity_distortion,Fake,,,,,,,,
96,6114,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_115.png,,visual_veracity_distortion,Fake,,,,,,,,
97,9577,/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_77.png,,mismatch,Fake,Misinformation,0.7,"The image is partially aligned with the headline, but the confidence level is at the threshold where it suggests a possible mismatch. The headline's context is not definitively supported by the image, and while the headline may be true, the lack of clear identification of the individuals in the image raises concerns.",Not Misinformation,0.9,"The visual veracity indicates that the image is genuine and not AI-generated. The evidence supports the claim made in the headline, particularly from the retrieved evidence item [4] which states that Brian and Eileen Maguire said their son's death was 'an accident waiting to happen'. This aligns directly with the claim in the headline.",,
98,7439,/fake/Newsclipings_person_test_500/Newsclipings_person_test_439.png,,mismatch,Fake,,,,,,,,
99,ds1582,/real/guardian_test_500/guardian_test_82.png,,original,True,,,,,,,,
100,ds8208,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_208.png,,mismatch,Fake,Misinformation,0.6,"The image is partially aligned with the headline but lacks specific evidence connecting it to the Summer Olympics or the claims of corruption and mismanagement. The headline is supported by QA analysis, but the image does not sufficiently relate to the details mentioned.",Not Misinformation,0.8,"The evidence supports the claim that activists protested the Summer Olympics in Brazil, specifically addressing issues of corruption and mismanagement. The retrieved evidence includes sources that confirm protests related to water pollution and broken promises during the Rio Olympics, as well as broader concerns about corruption in Brazil. The visual veracity signal indicates the image is not AI-generated, which further supports the authenticity of the claim. Key evidence items include: [1] https://www.sportsnet.ca/olympics/activists-protest-rio-water-pollution-broken-olympic-promises/, [3] https://www.ibtimes.com/rio-olympics-2016-activists-protest-olympics-meeting-over-golf-course-concerns-1831828, and [4] https://www.latimes.com/world/brazil/la-fg-brazil-olympics-20160514-story.html.",,
101,ds8378,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_378.png,,mismatch,Fake,,,,,,,,
102,5049,/fake/chatgpt_match_test_500/chatgpt_match_test_49.png,,textual_veracity_distortion,Fake,,,,,,,,
103,ds5285,/fake/chatgpt_match_test_500/chatgpt_match_test_285.png,,textual_veracity_distortion,Fake,,,,,,,,
104,ds4435,/fake/rumor_match_test_750/rumor_match_test_435.png,,textual_veracity_distortion,Fake,,,,,,,,
105,8063,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_63.png,,mismatch,Fake,,,,,,,,
106,ds372,/real/bbc_test_500/bbc_test_372.png,,original,True,,,,,,,,
107,6609,/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_110.png,,visual_veracity_distortion,Fake,,,,,,,,
108,ds1009,/real/wash_test_500/wash_test_9.png,,original,True,,,,,,,,
109,ds4724,/fake/rumor_match_test_750/rumor_match_test_724.png,,textual_veracity_distortion,Fake,,,,,,,,
110,ds6090,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_91.png,,visual_veracity_distortion,Fake,,,,,,,,
111,ds2309,/real/coco_test_500/coco_test_309.png,,original,True,,,,,,,,
112,ds9501,/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_1.png,,mismatch,Fake,,,,,,,,
113,4300,/fake/rumor_match_test_750/rumor_match_test_300.png,,textual_veracity_distortion,Fake,,,,,,,,
114,ds831,/real/usa_today_test_500/usa_today_test_331.png,,original,True,,,,,,,,
115,ds7016,/fake/Newsclipings_person_test_500/Newsclipings_person_test_16.png,,mismatch,Fake,,,,,,,,
116,ds6253,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_254.png,,visual_veracity_distortion,Fake,,,,,,,,
117,6440,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_441.png,,visual_veracity_distortion,Fake,,,,,,,,
118,ds7823,/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_323.png,,mismatch,Fake,,,,,,,,
119,ds7600,/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_100.png,,mismatch,Fake,Misinformation,0.6,"The image is partially aligned with the headline but does not specifically depict Shanghai shares or confirm the gains in Asia. The confidence level of 0.6 indicates a weak connection, and while the headline has some truth, the image does not sufficiently support it.",Not Misinformation,0.8,"The visual veracity indicates the image is genuine, and the evidence supports the claim that Shanghai shares have seen significant increases, particularly with WuXi AppTec's stock surge and overall upward momentum in the market. The evidence from the retrieved answers, especially the one stating that shares in Shanghai have seen significant increases and the market is experiencing upward momentum, aligns with the claim. This resolved the conflict with the relevancy signal, which was only partial.",,
120,5286,/fake/chatgpt_match_test_500/chatgpt_match_test_286.png,,textual_veracity_distortion,Fake,,,,,,,,
121,ds9954,/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_454.png,,mismatch,Fake,,,,,,,,
122,6327,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_328.png,,visual_veracity_distortion,Fake,,,,,,,,
123,ds1226,/real/wash_test_500/wash_test_226.png,,original,True,,,,,,,,
124,7506,/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_6.png,,mismatch,Fake,Misinformation,0.6,"The image is partially aligned with the headline but does not confirm the specific event mentioned (coach parties from Shenzhen). The headline is supported by Q/A analysis, but the image does not provide sufficient evidence to validate the claim.",Not Misinformation,0.9,"The evidence supports the claim that coach parties from Shenzhen visit Dedham Vale, particularly during the spring and summer months, and stay until autumn. This is corroborated by the answer with high confidence (0.9) from the retrieved evidence. Additionally, the visual veracity indicates the image is not AI-generated, which aligns with the claim's context.",,
125,ds3871,/fake/fever_AI_test_1000/fever_test_md_872.png,,textual_veracity_distortion,Fake,,,,,,,,
126,3477,/fake/fever_AI_test_1000/fever_test_md_478.png,,textual_veracity_distortion,Fake,,,,,,,,
127,3397,/fake/fever_AI_test_1000/fever_test_dalle_398.png,,textual_veracity_distortion,Fake,,,,,,,,
128,ds8942,/fake/coco_text_edit_test_500/coco_text_edit_test_442.png,,mismatch,Fake,,,,,,,,
129,ds1096,/real/wash_test_500/wash_test_96.png,,original,True,Not Misinformation,0.8,"The headline is accurate based on Q/A analysis, and the image is genuine and partially aligned with the context of the headline. The high confidence in the partial alignment supports the relevance of the image to the headline.",Misinformation,0.9,"The evidence indicates that the CDC Dengue Branch in San Juan focuses exclusively on dengue and has not been reported to process Zika tests. The retrieved evidence specifically states that the CDC Dengue Branch's mission is to develop strategies for dengue, not Zika. This contradicts the claim that lab technicians at this branch are processing Zika tests. The visual veracity signal confirms the image is not AI-generated, but it does not support the specific claim about Zika testing. The decisive evidence items are: [2] and [1] from the CDC dengue branch operations, which clarify the focus on dengue.",,
130,ds4921,/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_172.png,,textual_veracity_distortion,Fake,,,,,,,,
131,540,/real/usa_today_test_500/usa_today_test_40.png,,original,True,,,,,,,,
132,ds5364,/fake/chatgpt_match_test_500/chatgpt_match_test_364.png,,textual_veracity_distortion,Fake,,,,,,,,
133,6563,/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_64.png,,visual_veracity_distortion,Fake,,,,,,,,
134,ds50,/real/bbc_test_500/bbc_test_50.png,,original,True,,,,,,,,
135,ds5919,/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_220.png,,textual_veracity_distortion,Fake,,,,,,,,
136,1901,/real/guardian_test_500/guardian_test_401.png,,original,True,Not Misinformation,0.9,"The headline is supported by the Q/A analysis, which confirms the existence of a cemetery on San Michele island and mentions recent developments regarding access for mourners. The image is genuine and partially aligns with the subject matter, and the confidence level indicates a reasonable match.",Misinformation,0.9,"The evidence does not support the claim that a pontoon will be built for scattering ashes at San Michele cemetery. Specifically, the evidence item from the retrieved sources states that there is no information regarding the construction of a pontoon at Venice Cemetery, indicating uncertainty about such a project. Additionally, while the visual veracity indicates the image is genuine, it does not confirm the claim about the pontoon. The conflicting signals led to a conclusion of misinformation based on the lack of supporting evidence.",,
137,ds2311,/real/coco_test_500/coco_test_311.png,,original,True,Not Misinformation,0.95,"The headline is accurate and supported by the Q/A analysis, the image aligns perfectly with the headline, and the image is not AI-generated.",Misinformation,0.9,"The evidence indicates that big cats, which are typically large wild felines, are not suited to small environments like bowls. This contradicts the humorous claim of a big cat sitting in a little bowl. The evidence item that was decisive is the answer stating that 'Big cats are not typically found in small bowls' with a confidence of 1.0.",,
138,6581,/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_82.png,,visual_veracity_distortion,Fake,,,,,,,,
139,ds7198,/fake/Newsclipings_person_test_500/Newsclipings_person_test_198.png,,mismatch,Fake,,,,,,,,
